year,aid,medal,eid,dname
1900,283,Gold,379,Football
1900,284,Gold,379,Football
1900,285,Gold,379,Football
1900,286,Silver,379,Football
1900,287,Silver,379,Football
1900,288,Silver,379,Football
1900,289,Silver,379,Football
1900,290,Silver,379,Football
1900,291,Silver,379,Football
1900,292,Silver,379,Football
1900,293,Silver,379,Football
1900,294,Silver,379,Football
1900,295,Silver,379,Football
1900,296,Silver,379,Football
1900,297,Silver,379,Football
1900,298,Silver,379,Football
1900,299,Bronze,352,Golf
1900,300,Gold,352,Golf
1900,301,Silver,352,Golf
1900,302,Bronze,352,Golf
1900,303,Gold,352,Golf
1900,304,Silver,352,Golf
1900,305,Bronze,420,Artistic G.
1900,306,Gold,420,Artistic G.
1900,307,Silver,420,Artistic G.
1900,308,Bronze,423,Polo
1900,309,Bronze,423,Polo
1900,310,Bronze,423,Polo
1900,311,Bronze,423,Polo
1900,312,Gold,423,Polo
1900,313,Gold,423,Polo
1900,314,Gold,423,Polo
1900,315,Gold,423,Polo
1900,316,Silver,423,Polo
1900,317,Silver,423,Polo
1900,318,Silver,423,Polo
1900,319,Silver,423,Polo
1900,320,Bronze,435,Rowing
1900,321,Bronze,435,Rowing
1900,322,Bronze,435,Rowing
1900,323,Bronze,435,Rowing
1900,324,Bronze,435,Rowing
1900,325,Bronze,435,Rowing
1900,326,Bronze,435,Rowing
1900,327,Bronze,435,Rowing
1900,328,Bronze,435,Rowing
1900,329,Gold,435,Rowing
1900,330,Gold,435,Rowing
1900,331,Gold,435,Rowing
1900,332,Gold,435,Rowing
1900,333,Gold,435,Rowing
1900,334,Gold,435,Rowing
1900,335,Gold,435,Rowing
1900,336,Gold,435,Rowing
1900,337,Gold,435,Rowing
1900,338,Silver,435,Rowing
1900,339,Silver,435,Rowing
1900,340,Silver,435,Rowing
1900,341,Silver,435,Rowing
1900,342,Silver,435,Rowing
1900,343,Silver,435,Rowing
1900,344,Silver,435,Rowing
1900,345,Silver,435,Rowing
1900,346,Silver,435,Rowing
1900,347,Bronze,462,Rowing
1900,348,Bronze,462,Rowing
1900,349,Bronze,462,Rowing
1900,350,Bronze,462,Rowing
1900,351,Bronze,462,Rowing
1900,352,Bronze,462,Rowing
1900,353,Bronze,462,Rowing
1900,354,Bronze,462,Rowing
1900,355,Bronze,462,Rowing
1900,356,Bronze,462,Rowing
1900,357,Gold,462,Rowing
1900,358,Gold,462,Rowing
1900,359,Gold,462,Rowing
1900,360,Gold,462,Rowing
1900,361,Gold,462,Rowing
1900,362,Gold,462,Rowing
1900,363,Gold,462,Rowing
1900,364,Gold,462,Rowing
1900,365,Gold,462,Rowing
1900,366,Gold,462,Rowing
1900,321,Silver,462,Rowing
1900,367,Silver,462,Rowing
1900,368,Silver,462,Rowing
1900,369,Silver,462,Rowing
1900,370,Silver,462,Rowing
1900,371,Silver,462,Rowing
1900,372,Silver,462,Rowing
1900,373,Silver,462,Rowing
1900,374,Silver,462,Rowing
1900,375,Bronze,491,Rowing
1900,376,Bronze,491,Rowing
1900,377,Bronze,491,Rowing
1900,320,Gold,491,Rowing
1900,321,Gold,491,Rowing
1900,322,Gold,491,Rowing
1900,378,Silver,491,Rowing
1900,379,Silver,491,Rowing
1900,380,Silver,491,Rowing
1900,381,Bronze,500,Rowing
1900,382,Gold,500,Rowing
1900,383,Silver,500,Rowing
1900,384,Gold,503,Rugby
1900,385,Gold,503,Rugby
1900,386,Gold,503,Rugby
1900,387,Gold,503,Rugby
1900,388,Gold,503,Rugby
1900,389,Gold,503,Rugby
1900,390,Gold,503,Rugby
1900,391,Gold,503,Rugby
1900,392,Gold,503,Rugby
1900,393,Gold,503,Rugby
1900,394,Gold,503,Rugby
1900,395,Gold,503,Rugby
1900,396,Gold,503,Rugby
1900,397,Gold,503,Rugby
1900,398,Gold,503,Rugby
1900,399,Gold,503,Rugby
1900,400,Gold,503,Rugby
1900,401,Silver,503,Rugby
1900,402,Silver,503,Rugby
1900,403,Silver,503,Rugby
1900,404,Silver,503,Rugby
1900,405,Silver,503,Rugby
1900,406,Silver,503,Rugby
1900,407,Silver,503,Rugby
1900,408,Silver,503,Rugby
1900,409,Silver,503,Rugby
1900,410,Silver,503,Rugby
1900,411,Silver,503,Rugby
1900,412,Silver,503,Rugby
1900,413,Silver,503,Rugby
1900,414,Silver,503,Rugby
1900,415,Silver,503,Rugby
1900,416,Silver,503,Rugby
1900,417,Silver,503,Rugby
1900,418,Silver,503,Rugby
1900,419,Silver,503,Rugby
1900,420,Silver,503,Rugby
1900,421,Silver,503,Rugby
1900,422,Silver,503,Rugby
1900,423,Silver,503,Rugby
1900,424,Silver,503,Rugby
1900,425,Silver,503,Rugby
1900,426,Silver,503,Rugby
1900,427,Silver,503,Rugby
1900,428,Silver,503,Rugby
1900,429,Silver,503,Rugby
1900,430,Silver,503,Rugby
1900,431,Bronze,550,Sailing
1900,432,Bronze,550,Sailing
1900,433,Gold,550,Sailing
1900,434,Gold,550,Sailing
1900,435,Gold,550,Sailing
1900,436,Silver,550,Sailing
1900,437,Silver,550,Sailing
1900,438,Silver,550,Sailing
1900,439,Silver,550,Sailing
1900,440,Silver,550,Sailing
1900,441,Bronze,560,Sailing
1900,442,Gold,560,Sailing
1900,443,Gold,560,Sailing
1900,444,Silver,560,Sailing
1900,445,Bronze,564,Sailing
1900,446,Gold,564,Sailing
1900,447,Silver,564,Sailing
1900,431,Bronze,567,Sailing
1900,432,Bronze,567,Sailing
1900,433,Gold,567,Sailing
1900,434,Gold,567,Sailing
1900,435,Gold,567,Sailing
1900,448,Silver,567,Sailing
1900,449,Silver,567,Sailing
1900,450,Silver,567,Sailing
1900,451,Silver,567,Sailing
1900,452,Bronze,121,Shooting
1900,453,Gold,121,Shooting
1900,454,Silver,121,Shooting
1900,455,Bronze,579,Shooting
1900,456,Bronze,579,Shooting
1900,457,Bronze,579,Shooting
1900,458,Bronze,579,Shooting
1900,459,Bronze,579,Shooting
1900,460,Gold,579,Shooting
1900,461,Gold,579,Shooting
1900,462,Gold,579,Shooting
1900,463,Gold,579,Shooting
1900,464,Gold,579,Shooting
1900,465,Silver,579,Shooting
1900,466,Silver,579,Shooting
1900,454,Silver,579,Shooting
1900,467,Silver,579,Shooting
1900,468,Silver,579,Shooting
1900,464,Bronze,124,Shooting
1900,463,Gold,124,Shooting
1900,467,Silver,124,Shooting
1900,469,Bronze,597,Shooting
1900,470,Bronze,597,Shooting
1900,471,Gold,597,Shooting
1900,472,Silver,597,Shooting
1900,464,Gold,601,Shooting
1900,471,Silver,601,Shooting
1900,472,Silver,601,Shooting
1900,469,Bronze,604,Shooting
1900,467,Gold,604,Shooting
1900,472,Silver,604,Shooting
1900,473,Bronze,607,Shooting
1900,474,Gold,607,Shooting
1900,469,Silver,607,Shooting
1900,475,Bronze,610,Shooting
1900,466,Bronze,610,Shooting
1900,454,Bronze,610,Shooting
1900,467,Bronze,610,Shooting
1900,476,Bronze,610,Shooting
1900,477,Gold,610,Shooting
1900,478,Gold,610,Shooting
1900,471,Gold,610,Shooting
1900,462,Gold,610,Shooting
1900,464,Gold,610,Shooting
1900,479,Silver,610,Shooting
1900,480,Silver,610,Shooting
1900,469,Silver,610,Shooting
1900,481,Silver,610,Shooting
1900,482,Silver,610,Shooting
1900,483,Bronze,625,Shooting
1900,484,Gold,625,Shooting
1900,485,Silver,625,Shooting
1900,486,Bronze,133,Tennis
1900,487,Bronze,133,Tennis
1900,488,Bronze,133,Tennis
1900,489,Bronze,133,Tennis
1900,490,Gold,133,Tennis
1900,491,Gold,133,Tennis
1900,492,Silver,133,Tennis
1900,493,Silver,133,Tennis
1900,490,Bronze,636,Tennis
1900,494,Bronze,636,Tennis
1900,491,Gold,636,Tennis
1900,487,Silver,636,Tennis
1900,495,Bronze,636,Tennis
1900,496,Bronze,636,Tennis
1900,497,Gold,636,Tennis
1900,498,Silver,636,Tennis
1900,491,Bronze,139,Tennis
1900,488,Bronze,139,Tennis
1900,490,Gold,139,Tennis
1900,487,Silver,139,Tennis
1900,495,Bronze,139,Tennis
