year,dname
2004,Tennis
2004,Triathlon
2004,Beach volley.
2004,Volleyball
2004,Weightlifting
2004,Wrestling Free.
2004,Wrestling Gre-R
2008,Diving
2008,Swimming
2008,Synchronized S.
2008,Water polo
2008,Archery
2008,Athletics
2008,Badminton
2008,Baseball
2008,Basketball
2008,Boxing
2008,Canoe / Kayak F
2008,Canoe / Kayak S
2008,BMX
2008,Cycling Road
2008,Cycling Track
2008,Mountain Bike
2008,Dressage
2008,Eventing
2008,Jumping
2008,Fencing
2008,Football
2008,Artistic G.
2008,Rhythmic G.
2008,Trampoline
2008,Handball
2008,Hockey
2008,Judo
2008,Modern Pentath.
2008,Rowing
2008,Sailing
2008,Shooting
2008,Softball
2008,Table Tennis
2008,Taekwondo
2008,Tennis
2008,Triathlon
2008,Beach volley.
2008,Volleyball
2008,Weightlifting
2008,Wrestling Free.
2008,Wrestling Gre-R
