Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
Poland,POL,,,,,,,,,92527774557.993,157079211268.128,171885598582.637,253528543307.087,530185123692.512,500227851988.331
Puerto Rico,PRI,1691900000,2570500000,3941700000,6328900000,8968600000,14436100000,19162600000,26178400000,34630430000,45340835000,61701810000,80322313000,93639316000,101080738000
Portugal,PRT,3193200404.373,4235608177.671,6354262628.335,11240223128.243,20334835543.767,32899759311.173,25220451794.029,56352797353.76,107602689040.689,122629812841.175,118358489957.619,189187437298.237,262007590449.685,216368178659.447
Paraguay,PRY,,,477012512.698,697291727.778,1540820245.238,4094810488.095,4067222420.239,4082625952.738,7157424031.06,9788391732.829,8195993230.743,8033877360.417,18504130752.992,24611039786.132
Qatar,QAT,,,,510259922.525,3284301425.757,7829094474.237,6704395630.956,6038186858.948,7646153983.516,9059340384.615,17759890109.89,31734065934.066,115270054945.055,190289835164.835
Romania,ROU,,,,,,,,40424526825.79,25121666666.667,37182938696.075,37438527799.53,76216441462.144,208181626900.631,171664638717.49
Saudi Arabia,SAU,,,4187777711.111,9664157498.552,64005665722.38,164541738058.737,119624858115.778,88256074766.355,136304138851.802,157743124165.554,188441866666.667,258742133333.333,519796800000,733955733333.333
Sudan,SDN,1126364161.764,1388282600.196,1677771400.568,2483055722.237,6013210815.661,7617256737.162,10044297796.192,15510324099.083,7034219712.526,9018243044.452,12257418326.073,21457470202.784,54526580231.557,62688889672.544
Senegal,SEN,792824702.824,939145912.177,1034293671.34,1280328105.488,2266860710.046,3503282842.238,2705535967.893,4985152887.553,6004885321.344,5065830414.049,4679604753.557,8031344381.099,13386345214.538,14045681414.366
Singapore,SGP,704453107.147,893722817.455,1425020122.313,2719900395.973,6326445457.524,11893624074.294,19735453641.038,25337427488.347,52156414978.514,96403758865.248,95833932714.617,114188557567.152,192225881687.752,289268624469.873
Serbia,SRB,,,,,,,,,,20948677839.851,6540247190.335,24861483280.634,49259526052.743,40742313861.137
Suriname,SUR,93850000,120850000,220600000,287600000,505500000,794900000,864150000,1160900000,404600000,860630922.693,892164393.939,1484092538.405,3532969034.608,4980000000
Slovenia,SVN,,,,,,,,,,21480028328.612,20342197589.324,34470229197.808,55589863776.183,46240004973.277
Sweden,SWE,14842870293.421,21137242560.854,29143383490.59,48263914958.844,88102107647.099,140088635568.375,107661673734.858,204068257817.6,280312318915.485,288103936773.039,259802012617.057,381705425301.746,513965650650.119,543880647757.404
Togo,TGO,121128072.423,166104078.423,241956916.76,335677600.316,619375149.041,1136409054.008,718149015.839,1378847400.29,1692959110.18,1465448290.341,1294250233.189,1937074572.087,3163416242.059,3866617462.619
Thailand,THA,2760750921.401,3889130441.591,6081009422.096,8177872957.59,16985208712.105,32353514502,41797647303.348,61667254410.673,111452869378.467,183035154107.494,126392308497.749,172895476152.592,291383081231.82,397290682074.825
Tajikistan,TJK,,,,,,,,,1909246640.808,1043893062.606,860550294.273,2076148710.318,5161298559.342,7633036366.035
Tonga,TON,,,,,30036416.962,53260077.431,64248354.541,106657267.367,137066290.55,219583570.095,188623258.459,236247362.548,340041546.54,457244315.208
Trinidad and Tobago,TTO,535673245.328,711897510.746,758899950,1083392306.879,2500420785.494,6235833085.544,7757083025.095,4496910569.106,5318258823.529,5759537726.266,8154338232.96,13280275123.035,27870257894.235,24580844842.603
Tunisia,TUN,,,1214666666.667,2237570218.831,4508139372.172,8743054698.111,8254573072.616,10096292842.154,15497286295.794,19587322786.11,21473188881.593,31183139301.485,44856586316.046,45044176963.954
Turkey,TUR,13995067817.509,11177777777.778,17500000000,20431095406.36,51280134554.289,68789289565.743,59989909457.838,90852814004.992,158459130434.783,181475555282.555,266567532789.507,392166275622.589,730337495197.849,788863301224.944
Tanzania,TZA,,,,,,,,5100405344.399,4601413263.529,6496195450.61,10185786382.828,12825801580.928,27368386358.131,39087748240.44
Uganda,UGA,423145605.043,589247687.3,1037379286.071,1490970306.727,2447300000,1244610000,3615647446.521,6508931651.667,2857457860.051,6044585326.938,6193246837.097,7940362799.18,14239026629.639,23236898742.132
Ukraine,UKR,,,,,,,,74703517902.664,73942235330.437,44558076851.599,31261718319.179,64883060725.7,179992405832.321,175781379051.433
Uruguay,URY,1242289212.043,1975701727.509,1593675330.165,2189418001.379,3667161241.484,10163020115.734,4850241442.176,8213515458.511,12878199880.984,20515543039.213,22823255801.845,13686329890.119,30366213118.408,51265399742.695
United States,USA,543300000000,685800000000,942500000000,1282449000000,1877587000000,2862505000000,4040693000000,5252629000000,6539299000000,8100201000000,10284779000000,12274928000000,14718582000000,16155255000000
Uzbekistan,UZB,,,,,,,,,12941297376.093,13948892215.569,13760374487.51,12030023547.881,27934030937.216,51183443224.994
Vietnam,VNM,,,,,,,,25423812494.347,9866990096.318,24657470331.581,33640085727.512,49424107709.895,99130304099.127,155820001920.492
South Africa,ZAF,7363096178.076,10071444211.116,14475710065.799,20753220241.967,35473781048.758,80546993194.658,85169436537.277,114630316416.931,130513680154.278,147608050636.15,136361791002.623,228593703990.959,286769850239.675,397386418270.402
Zambia,ZMB,698739720.784,822639671.273,1573739371.134,1872416680.079,2742859262.979,3884530853.762,2719518932.995,3728878148.808,3181921787.71,3597220962,3600683039.733,6221077674.779,17910858637.905,25503060411.457
Zimbabwe,ZWE,1052990400,1217138000,1479599900,2677729400,4318372000,6678868200,6352125900,7814784100,6751472200,8553146600,6689957600,5805598400,4415702800,12392715500
