Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
Tanzania,TZA,10074490,11339076,12787494,14506496,16493435,18684893,21178079,23914852,27203865,30733937,33991590,37935334,42844744,48645709
Uganda,UGA,6788211,7746181,8872866,9988321,11139772,12547754,14163214,16227778,18571527,21041468,23757636,27114742,31014427,35400620
Ukraine,UKR,42662150,44794325,46409007,47783013,49036202,49968811,50754000,51521000,52150266,51057189,49175848,47451600,46258200,45593300
Uruguay,URY,2538651,2665387,2774771,2821437,2841436,2915775,2992648,3069094,3154853,3248039,3321242,3324096,3350832,3396753
United States,USA,180671000,191889000,200706000,209896000,218035000,227225000,235825000,244499000,256514000,269394000,282162411,292805298,304093966,314102623
Uzbekistan,UZB,8789492,9917202,11240523,12762439,14374729,15951899,17712992,19583186,21449000,23225000,24650400,25864350,27302800,29774500
Vietnam,VNM,34743000,37574000,40856000,44758000,49158000,53700000,57692000,63263000,68450100,73156700,77630900,81436400,85118700,88809200
South Africa,ZAF,17396000,19390554,21153722,23126276,25268094,27576000,30505361,33728498,36690739,40000247,44000000,46641103,49296223,52356381
Zambia,ZMB,3049586,3449266,3916928,4484141,5160570,5929497,6793708,7696070,8576987,9502346,10585220,11725635,13114579,14786581
Zimbabwe,ZWE,3752390,4279561,4874113,5573312,6373956,7289083,8528328,9866776,11019717,11877664,12499981,12867828,13495462,14565482
